Symbol,Sector,Catalyst,Relative Strength,Above 20 SMA,Volume Expansion,Technical Status,Tier
BAJFINANCE,Financial Services,BIG_BLOCK_BUY + Strong Sector,Strong,Y,N,Ready,1
SUNPHARMA,Healthcare,BIG_BLOCK_BUY + Improving Sector,Strong,Y,N,Ready,1
AXISBANK,Financial Services,BIG_BLOCK_BUY + Strong Sector,Neutral,Y,N,Ready,1
HDFCBANK,Financial Services,BIG_BLOCK_BUY + Strong Sector,Neutral,Y,N,Monitor,1
HINDUNILVR,Consumer Defensive,BIG_BLOCK_BUY + Improving Sector,Neutral,Y,N,Monitor,1
ICICIBANK,Financial Services,BIG_BLOCK_BUY + Strong Sector,Neutral,Y,N,Ready,1
LT,Industrials,BIG_BLOCK_BUY + Improving Sector,Neutral,Y,N,Ready,1
M&M,Consumer Cyclical,BIG_BLOCK_BUY + Strong Sector,Neutral,Y,N,Monitor,1
BEL,Industrials,BIG_BLOCK_BUY + Improving Sector,Weak,N,N,Avoid,1
BHEL,Capital Goods,Improving Sector,Strong,Y,-,-,2
CHOLAFIN,Financial Services,Strong Sector,Strong,Y,-,-,2
CIPLA,Pharma,Improving Sector,Strong,Y,-,-,2
CUMMINSIND,Capital Goods,Improving Sector,Strong,N,-,-,2
DIVISLAB,Pharma,Improving Sector,Strong,Y,-,-,2
DRREDDY,Pharma,Improving Sector,Strong,Y,-,-,2
EICHERMOT,Auto,Strong Sector,Strong,Y,-,-,2
KOTAKBANK,Banking,Strong Sector,Strong,Y,-,-,2
NESTLEIND,FMCG,Improving Sector,Strong,Y,-,-,2
PHOENIXLTD,Realty,Strong Sector,Strong,Y,-,-,2
PRESTIGE,Realty,Strong Sector,Strong,Y,-,-,2
ABB,Capital Goods,Improving Sector,Neutral,Y,-,-,2
BAJAJ-AUTO,Auto,Strong Sector,Neutral,N,-,-,2
BAJAJFINSV,Financial Services,Strong Sector,Neutral,Y,-,-,2
BDL,Defence,Improving Sector,Neutral,Y,-,-,2
COCHINSHIP,Defence,Improving Sector,Neutral,Y,-,-,2
DABUR,FMCG,Improving Sector,Neutral,Y,-,-,2
DLF,Realty,Strong Sector,Neutral,Y,-,-,2
GODREJPROP,Realty,Strong Sector,Neutral,Y,-,-,2
HAL,Defence,Improving Sector,Neutral,Y,-,-,2
ITC,FMCG,Improving Sector,Neutral,Y,-,-,2
LUPIN,Pharma,Improving Sector,Neutral,Y,-,-,2
MARUTI,Auto,Strong Sector,Neutral,Y,-,-,2
MAZDOCK,Defence,Improving Sector,Neutral,Y,-,-,2
OBEROIRLTY,Realty,Strong Sector,Neutral,Y,-,-,2
SBIN,Banking,Strong Sector,Neutral,Y,-,-,2
SHRIRAMFIN,Financial Services,Strong Sector,Neutral,Y,-,-,2
SIEMENS,Capital Goods,Improving Sector,Neutral,N,-,-,2
BRITANNIA,FMCG,Improving Sector,Weak,Y,-,-,2
SBICARD,Financial Services,Strong Sector,Weak,Y,-,-,2
ASIANPAINT,Basic Materials,BIG_BLOCK_BUY,Strong,Y,N,Ready,3
ATALREAL,Industrials,BIG_BULK_BUY,Strong,Y,N,Ready,3
GOCOLORS,Consumer Cyclical,BIG_BULK_BUY,Strong,Y,N,Monitor,3
PACEDIGITK,Technology,BIG_BULK_BUY,Strong,Y,N,Ready,3
RAMCOSYS,Technology,BIG_BULK_BUY,Strong,Y,Y,Ready,3
RATNAVEER,Basic Materials,BIG_BULK_BUY,Strong,Y,Y,Ready,3
ROTO,Industrials,BIG_BULK_BUY,Strong,Y,Y,Ready,3
RPTECH,Technology,BIG_BULK_BUY,Strong,Y,N,Ready,3
SBC,Industrials,BIG_BULK_BUY,Strong,Y,N,Ready,3
TCIEXP,Industrials,BIG_BULK_BUY,Strong,Y,N,Monitor,3
BHARTIARTL,Communication Services,BIG_BLOCK_BUY,Neutral,Y,N,Ready,3
NDRINVIT,Unknown,BIG_BLOCK_BUY,Neutral,N,N,Monitor,3
RELIANCE,Energy,BIG_BLOCK_BUY,Neutral,Y,N,Monitor,3
INFY,Technology,BIG_BLOCK_BUY,Weak,N,N,Avoid,3
PINELABS,Technology,BIG_BULK_BUY,Weak,Y,N,Monitor,3
POWERGRID,Utilities,BIG_BLOCK_BUY,Weak,N,N,Avoid,3
TCS,Technology,BIG_BLOCK_BUY,Weak,N,N,Avoid,3
TITAN,Consumer Cyclical,BIG_BLOCK_BUY,Weak,Y,N,Monitor,3
