Symbol,Sector,Catalyst,Relative Strength,Above 20 SMA,Volume Expansion,Technical Status,Tier
BAJFINANCE,Financial Services,Strong Sector,Strong,Y,-,-,2
BDL,Defence,Improving Sector,Strong,Y,-,-,2
BHEL,Capital Goods,Improving Sector,Strong,Y,-,-,2
CHOLAFIN,Financial Services,Strong Sector,Strong,Y,-,-,2
CIPLA,Pharma,Improving Sector,Strong,Y,-,-,2
CUMMINSIND,Capital Goods,Improving Sector,Strong,Y,-,-,2
DIVISLAB,Pharma,Improving Sector,Strong,Y,-,-,2
DLF,Realty,Strong Sector,Strong,Y,-,-,2
EICHERMOT,Auto,Improving Sector,Strong,Y,-,-,2
GAIL,PSU,Improving Sector,Strong,Y,-,-,2
GODREJPROP,Realty,Strong Sector,Strong,Y,-,-,2
HAL,Defence,Improving Sector,Strong,Y,-,-,2
KOTAKBANK,Banking,Strong Sector,Strong,Y,-,-,2
LT,Capital Goods,Improving Sector,Strong,Y,-,-,2
NESTLEIND,FMCG,Improving Sector,Strong,Y,-,-,2
PHOENIXLTD,Realty,Strong Sector,Strong,Y,-,-,2
PRESTIGE,Realty,Strong Sector,Strong,Y,-,-,2
SIEMENS,Capital Goods,Improving Sector,Strong,Y,-,-,2
SUNPHARMA,Pharma,Improving Sector,Strong,Y,-,-,2
ABB,Capital Goods,Improving Sector,Neutral,Y,-,-,2
AXISBANK,Banking,Strong Sector,Neutral,Y,-,-,2
BAJAJ-AUTO,Auto,Improving Sector,Neutral,N,-,-,2
BAJAJFINSV,Financial Services,Strong Sector,Neutral,Y,-,-,2
BEL,Defence,Improving Sector,Neutral,Y,-,-,2
BPCL,Energy,Improving Sector,Neutral,Y,-,-,2
COALINDIA,PSU,Improving Sector,Neutral,N,-,-,2
COCHINSHIP,Defence,Improving Sector,Neutral,Y,-,-,2
DABUR,FMCG,Improving Sector,Neutral,N,-,-,2
DRREDDY,Pharma,Improving Sector,Neutral,Y,-,-,2
HDFCBANK,Banking,Strong Sector,Neutral,Y,-,-,2
HINDUNILVR,FMCG,Improving Sector,Neutral,Y,-,-,2
ICICIBANK,Banking,Strong Sector,Neutral,Y,-,-,2
ITC,FMCG,Improving Sector,Neutral,Y,-,-,2
LUPIN,Pharma,Improving Sector,Neutral,Y,-,-,2
MARUTI,Auto,Improving Sector,Neutral,Y,-,-,2
MAZDOCK,Defence,Improving Sector,Neutral,Y,-,-,2
OBEROIRLTY,Realty,Strong Sector,Neutral,Y,-,-,2
POWERGRID,PSU,Improving Sector,Neutral,Y,-,-,2
RELIANCE,Energy,Improving Sector,Neutral,Y,-,-,2
SBIN,Banking,Strong Sector,Neutral,Y,-,-,2
SHRIRAMFIN,Financial Services,Strong Sector,Neutral,Y,-,-,2
BRITANNIA,FMCG,Improving Sector,Weak,Y,-,-,2
M&M,Auto,Improving Sector,Weak,Y,-,-,2
NTPC,PSU,Improving Sector,Weak,N,-,-,2
ONGC,PSU,Improving Sector,Weak,N,-,-,2
SBICARD,Financial Services,Strong Sector,Weak,Y,-,-,2
DENTA,Industrials,BIG_BULK_BUY,Strong,Y,Y,Ready,3
EMSLIMITED,Industrials,BIG_BULK_BUY,Strong,Y,Y,Ready,3
IGARASHI,Consumer Cyclical,BIG_BULK_BUY,Strong,Y,N,Monitor,3
NELCO,Technology,BIG_BULK_BUY,Strong,Y,N,Monitor,3
NIITLTD,Consumer Defensive,BIG_BULK_BUY,Strong,Y,N,Monitor,3
NOCIL,Basic Materials,BIG_BULK_BUY,Strong,Y,Y,Ready,3
RBA,Consumer Cyclical,BIG_BULK_BUY,Strong,Y,N,Ready,3
RHETAN,Basic Materials,BIG_BULK_BUY,Strong,N,N,Monitor,3
SUBROS,Consumer Cyclical,BIG_BULK_BUY,Strong,Y,Y,Ready,3
TFCILTD,Financial Services,BIG_BULK_BUY,Strong,N,N,Monitor,3
VISACHROME,Basic Materials,BIG_BULK_BUY,Strong,N,N,Monitor,3
EPACK,Consumer Cyclical,BIG_BULK_BUY,Neutral,Y,N,Monitor,3
KSCL,Basic Materials,BIG_BULK_BUY,Neutral,Y,N,Monitor,3
ASIANTILES,Industrials,BIG_BULK_BUY,Weak,N,N,Avoid,3
