Symbol,Company,Quarter,Revenue Growth %,Profit Growth %,Margin Change %,Result Classification
JSWSTEEL,JSWSTEEL,Q4 FY26,22.07,2183.12,31.12,Strong
PRESTIGE,PRESTIGE,Q4 FY26,166.54,900.4,4.5,Strong
BHEL,BHEL,Q4 FY26,69.17,858.03,8.63,Strong
GODREJPROP,GODREJPROP,Q4 FY26,256.92,299.58,2.01,Strong
BAJAJ-AUTO,BAJAJ-AUTO,Q4 FY26,40.18,103.23,6.64,Strong
VEDL,VEDL,Q4 FY26,41.75,88.84,7.04,Strong
LUPIN,LUPIN,Q4 FY26,31.56,70.77,4.54,Strong
BEL,BEL,Q4 FY26,77.18,69.74,-0.95,Strong
LT,LT,Q4 FY26,27.98,58.55,1.24,Strong
PHOENIXLTD,PHOENIXLTD,Q4 FY26,26.46,52.34,5.56,Strong
CHOLAFIN,CHOLAFIN,Q4 FY26,35.06,51.18,3.65,Strong
M&M,M&M,Q4 FY26,32.38,46.75,0.83,Strong
DIVISLAB,DIVISLAB,Q4 FY26,22.08,27.5,1.13,Strong
COALINDIA,COALINDIA,Q4 FY26,43.67,27.44,-2.97,Strong
BAJFINANCE,BAJFINANCE,Q4 FY26,19.37,21.99,0.89,Strong
DLF,DLF,Q4 FY26,18.67,19.82,0.67,Strong
TATASTEEL,TATASTEEL,Q4 FY26,12.53,124.92,2.33,Neutral
NTPC,NTPC,Q4 FY26,10.25,107.14,9.87,Neutral
SBICARD,SBICARD,Q4 FY26,7.11,58.99,4.89,Neutral
BPCL,BPCL,Q4 FY26,4.89,47.78,1.38,Neutral
ONGC,ONGC,Q4 FY26,3.61,45.6,1.8,Neutral
TECHM,TECHM,Q4 FY26,13.48,37.69,1.58,Neutral
POWERGRID,POWERGRID,Q4 FY26,3.85,17.73,4.59,Neutral
BRITANNIA,BRITANNIA,Q4 FY26,4.99,16.62,1.44,Neutral
OBEROIRLTY,OBEROIRLTY,Q4 FY26,24.01,13.73,-3.63,Neutral
INFY,INFY,Q4 FY26,6.55,13.04,1.05,Neutral
AXISBANK,AXISBANK,Q4 FY26,5.47,12.76,2.23,Neutral
EICHERMOT,EICHERMOT,Q4 FY26,15.74,11.58,-0.95,Neutral
TCS,TCS,Q4 FY26,10.51,10.81,0.05,Neutral
KOTAKBANK,KOTAKBANK,Q4 FY26,3.4,9.94,1.56,Neutral
JINDALSTEL,JINDALSTEL,Q4 FY26,37.69,9.92,-1.62,Neutral
ICICIBANK,ICICIBANK,Q4 FY26,10.35,9.28,-0.23,Neutral
HAL,HAL,Q4 FY26,1.77,5.52,1.07,Neutral
BAJAJFINSV,BAJAJFINSV,Q4 FY26,7.59,5.09,-0.18,Neutral
HCLTECH,HCLTECH,Q4 FY26,12.35,4.2,-1.03,Neutral
HINDUNILVR,HINDUNILVR,Q4 FY26,5.56,0.27,-0.97,Neutral
ABB,ABB,Q4 FY26,-4.94,237.55,40.52,Weak
CUMMINSIND,CUMMINSIND,Q4 FY26,-2.91,16.29,3.62,Weak
ITC,ITC,Q4 FY26,-5.12,9.18,4.0,Weak
SBIN,SBIN,Q4 FY26,-0.21,0.22,0.08,Weak
MARUTI,MARUTI,Q4 FY26,40.11,-1.82,-3.03,Weak
WIPRO,WIPRO,Q4 FY26,7.7,-1.9,-1.41,Weak
COCHINSHIP,COCHINSHIP,Q4 FY26,-15.55,-3.73,2.29,Weak
SUNPHARMA,SUNPHARMA,Q4 FY26,8.36,-6.52,-2.97,Weak
SHRIRAMFIN,SHRIRAMFIN,Q4 FY26,22.63,-6.96,-13.51,Weak
RELIANCE,RELIANCE,Q4 FY26,22.53,-8.46,-1.95,Weak
MAZDOCK,MAZDOCK,Q4 FY26,22.48,-15.84,-8.03,Weak
DABUR,DABUR,Q4 FY26,-9.45,-29.44,-3.44,Weak
SIEMENS,SIEMENS,Q4 FY26,14.6,-36.41,-6.43,Weak
HINDALCO,HINDALCO,Q4 FY26,20.41,-50.84,-4.82,Weak
BDL,BDL,Q4 FY26,-72.86,-58.51,8.01,Weak
GAIL,GAIL,Q4 FY26,-3.42,-63.62,-6.91,Weak
CIPLA,CIPLA,Q4 FY26,-7.14,-64.68,-13.98,Weak
DRREDDY,DRREDDY,Q4 FY26,-11.64,-86.14,-15.79,Weak
