Symbol,Sector,Catalyst,Relative Strength,Above 20 SMA,Volume Expansion,Technical Status,Tier
BAJAJ-AUTO,Auto,Improving Sector,Strong,N,-,-,2
BAJFINANCE,Financial Services,Improving Sector,Strong,Y,-,-,2
BHEL,Capital Goods,Improving Sector,Strong,Y,-,-,2
CHOLAFIN,Financial Services,Improving Sector,Strong,Y,-,-,2
CIPLA,Pharma,Improving Sector,Strong,Y,-,-,2
CUMMINSIND,Capital Goods,Improving Sector,Strong,N,-,-,2
DIVISLAB,Pharma,Improving Sector,Strong,Y,-,-,2
DLF,Realty,Strong Sector,Strong,Y,-,-,2
GODREJPROP,Realty,Strong Sector,Strong,Y,-,-,2
KOTAKBANK,Banking,Strong Sector,Strong,Y,-,-,2
M&M,Auto,Improving Sector,Strong,Y,-,-,2
MARUTI,Auto,Improving Sector,Strong,Y,-,-,2
OBEROIRLTY,Realty,Strong Sector,Strong,Y,-,-,2
PHOENIXLTD,Realty,Strong Sector,Strong,Y,-,-,2
PRESTIGE,Realty,Strong Sector,Strong,Y,-,-,2
SUNPHARMA,Pharma,Improving Sector,Strong,Y,-,-,2
AXISBANK,Banking,Strong Sector,Neutral,Y,-,-,2
BAJAJFINSV,Financial Services,Improving Sector,Neutral,Y,-,-,2
BDL,Defence,Improving Sector,Neutral,Y,-,-,2
COCHINSHIP,Defence,Improving Sector,Neutral,Y,-,-,2
DABUR,FMCG,Improving Sector,Neutral,Y,-,-,2
DRREDDY,Pharma,Improving Sector,Neutral,Y,-,-,2
EICHERMOT,Auto,Improving Sector,Neutral,N,-,-,2
HAL,Defence,Improving Sector,Neutral,Y,-,-,2
HDFCBANK,Banking,Strong Sector,Neutral,Y,-,-,2
HINDUNILVR,FMCG,Improving Sector,Neutral,Y,-,-,2
ICICIBANK,Banking,Strong Sector,Neutral,Y,-,-,2
ITC,FMCG,Improving Sector,Neutral,Y,-,-,2
LT,Capital Goods,Improving Sector,Neutral,N,-,-,2
LUPIN,Pharma,Improving Sector,Neutral,Y,-,-,2
MAZDOCK,Defence,Improving Sector,Neutral,Y,-,-,2
NESTLEIND,FMCG,Improving Sector,Neutral,Y,-,-,2
SBIN,Banking,Strong Sector,Neutral,Y,-,-,2
SHRIRAMFIN,Financial Services,Improving Sector,Neutral,Y,-,-,2
ABB,Capital Goods,Improving Sector,Weak,N,-,-,2
BEL,Defence,Improving Sector,Weak,Y,-,-,2
BRITANNIA,FMCG,Improving Sector,Weak,Y,-,-,2
SBICARD,Financial Services,Improving Sector,Weak,Y,-,-,2
SIEMENS,Capital Goods,Improving Sector,Weak,N,-,-,2
ATALREAL,Industrials,BIG_BULK_BUY,Strong,N,N,Monitor,3
BHARATSE,Consumer Cyclical,BIG_BULK_BUY,Strong,Y,Y,Ready,3
DIVGIITTS,Consumer Cyclical,BIG_BULK_BUY,Strong,Y,N,Ready,3
GOCOLORS,Consumer Cyclical,BIG_BULK_BUY,Strong,N,N,Monitor,3
PAISALO,Financial Services,BIG_BULK_BUY,Strong,Y,Y,Ready,3
RAMCOSYS,Technology,BIG_BULK_BUY,Strong,Y,N,Ready,3
SAKSOFT,Technology,BIG_BULK_BUY,Strong,Y,N,Monitor,3
SIGNPOST,Communication Services,BIG_BULK_BUY,Strong,Y,Y,Ready,3
MOTISONS,Consumer Cyclical,BIG_BULK_BUY,Neutral,Y,N,Monitor,3
RAMBHAJO,Consumer Cyclical,BIG_BULK_BUY,Neutral,N,N,Monitor,3
RITES,Industrials,BIG_BULK_BUY,Neutral,Y,N,Monitor,3
SHREEDHAR,Unknown,BIG_BULK_BUY,Neutral,N,N,Monitor,3
KPITTECH,Technology,BIG_BULK_BUY,Weak,N,Y,Avoid,3
