Symbol,Sector,Sector Trend,Relative Strength,Above 20 SMA,Current Price
KOTAKBANK,Banking,Strong,Strong,Y,399.7
DLF,Realty,Strong,Strong,Y,658.0
GODREJPROP,Realty,Strong,Strong,Y,1970.8
OBEROIRLTY,Realty,Strong,Strong,Y,1861.7
PRESTIGE,Realty,Strong,Strong,Y,1675.4
PHOENIXLTD,Realty,Strong,Strong,Y,2010.0
HDFCBANK,Banking,Strong,Neutral,Y,796.45
ICICIBANK,Banking,Strong,Neutral,Y,1398.6
SBIN,Banking,Strong,Neutral,Y,1051.5
AXISBANK,Banking,Strong,Neutral,Y,1363.6
BAJFINANCE,Financial Services,Improving,Strong,Y,1017.7
CHOLAFIN,Financial Services,Improving,Strong,Y,1792.3
MARUTI,Auto,Improving,Strong,Y,14357.0
M&M,Auto,Improving,Strong,Y,3167.9
BAJAJ-AUTO,Auto,Improving,Strong,N,9821.5
SUNPHARMA,Pharma,Improving,Strong,Y,1872.4
CIPLA,Pharma,Improving,Strong,Y,1457.3
DIVISLAB,Pharma,Improving,Strong,Y,6688.5
BHEL,Capital Goods,Improving,Strong,Y,402.0
CUMMINSIND,Capital Goods,Improving,Strong,N,5581.0
BAJAJFINSV,Financial Services,Improving,Neutral,Y,1850.8
SHRIRAMFIN,Financial Services,Improving,Neutral,Y,1066.9
EICHERMOT,Auto,Improving,Neutral,N,7243.0
DRREDDY,Pharma,Improving,Neutral,Y,1348.2
LUPIN,Pharma,Improving,Neutral,Y,2399.9
HINDUNILVR,FMCG,Improving,Neutral,Y,2212.0
ITC,FMCG,Improving,Neutral,Y,290.0
NESTLEIND,FMCG,Improving,Neutral,Y,1446.0
DABUR,FMCG,Improving,Neutral,Y,447.5
LT,Capital Goods,Improving,Neutral,N,4059.5
HAL,Defence,Improving,Neutral,Y,4436.0
BDL,Defence,Improving,Neutral,Y,1384.0
MAZDOCK,Defence,Improving,Neutral,Y,2551.9
COCHINSHIP,Defence,Improving,Neutral,Y,1518.4
SBICARD,Financial Services,Improving,Weak,Y,605.35
BRITANNIA,FMCG,Improving,Weak,Y,5372.5
SIEMENS,Capital Goods,Improving,Weak,N,3586.9
ABB,Capital Goods,Improving,Weak,N,6867.5
BEL,Defence,Improving,Weak,Y,415.15
