Symbol,Sector,Catalyst Tag,Current Price,Above 20 SMA,Relative Strength,Volume Expansion,Distance from 52W High (%),Technical Status
EPACK,Consumer Cyclical,BIG_BULK_BUY,245.5,Y,Neutral,N,40.83,Monitor
NOCIL,Basic Materials,BIG_BULK_BUY,192.9,Y,Strong,Y,5.67,Ready
SUBROS,Consumer Cyclical,BIG_BULK_BUY,874.55,Y,Strong,Y,27.94,Ready
RBA,Consumer Cyclical,BIG_BULK_BUY,78.3,Y,Strong,N,10.67,Ready
EMSLIMITED,Industrials,BIG_BULK_BUY,435.5,Y,Strong,Y,33.34,Ready
DENTA,Industrials,BIG_BULK_BUY,343.25,Y,Strong,Y,28.43,Ready
IGARASHI,Consumer Cyclical,BIG_BULK_BUY,488.55,Y,Strong,N,26.53,Monitor
KSCL,Basic Materials,BIG_BULK_BUY,933.3,Y,Neutral,N,28.55,Monitor
NELCO,Technology,BIG_BULK_BUY,893.0,Y,Strong,N,20.36,Monitor
VISACHROME,Basic Materials,BIG_BULK_BUY,44.5,N,Strong,N,39.6,Monitor
TFCILTD,Financial Services,BIG_BULK_BUY,74.49,N,Strong,N,11.96,Monitor
RHETAN,Basic Materials,BIG_BULK_BUY,27.48,N,Strong,N,15.21,Monitor
ASIANTILES,Industrials,BIG_BULK_BUY,56.19,N,Weak,N,28.93,Avoid
NIITLTD,Consumer Defensive,BIG_BULK_BUY,102.19,Y,Strong,N,22.98,Monitor
