Symbol,Sector,Catalyst Tag,Current Price,Above 20 SMA,Relative Strength,Volume Expansion,Distance from 52W High (%),Technical Status
RAMCOSYS,Technology,BIG_BULK_BUY,799.6,Y,Strong,N,7.95,Ready
ZENSARTECH,Technology,BIG_BULK_BUY,516.1,Y,Neutral,Y,40.44,Ready
IKIO,Technology,BIG_BULK_BUY,202.82,Y,Strong,Y,19.8,Ready
SAKSOFT,Technology,BIG_BULK_BUY,178.98,Y,Strong,N,29.24,Monitor
COMSYN,Consumer Cyclical,BIG_BULK_BUY,200.31,Y,Strong,Y,2.29,Ready
GCSL,Financial Services,BIG_BULK_BUY,490.45,Y,Strong,Y,1.29,Ready
VISL,Basic Materials,BIG_BULK_BUY,40.52,N,Neutral,N,9.51,Monitor
PCJEWELLER,Consumer Cyclical,BIG_BULK_BUY,10.3,Y,Strong,Y,47.58,Ready
INDOFARM,Industrials,BIG_BULK_BUY,163.61,Y,Strong,Y,39.78,Ready
DENTA,Industrials,BIG_BULK_BUY,352.9,Y,Strong,Y,26.42,Ready
BHARATSE,Consumer Cyclical,BIG_BULK_BUY,239.73,Y,Strong,Y,6.26,Ready
ATALREAL,Industrials,REPEAT_BUYING,28.06,N,Strong,N,12.31,Monitor
SIGNPOST,Communication Services,REPEAT_BUYING,299.7,Y,Strong,N,7.5,Ready
