Symbol,Sector,Sector Trend,Relative Strength,Above 20 SMA,Current Price
SUNPHARMA,Pharma,Strong,Strong,Y,1942.6
CIPLA,Pharma,Strong,Strong,Y,1438.1
DIVISLAB,Pharma,Strong,Strong,Y,7188.5
LUPIN,Pharma,Strong,Strong,Y,2469.2
DLF,Realty,Strong,Strong,Y,671.45
GODREJPROP,Realty,Strong,Strong,Y,2107.4
OBEROIRLTY,Realty,Strong,Strong,Y,1916.5
PRESTIGE,Realty,Strong,Strong,Y,1693.6
PHOENIXLTD,Realty,Strong,Strong,Y,2132.5
DRREDDY,Pharma,Strong,Neutral,N,1246.2
BAJFINANCE,Financial Services,Improving,Strong,Y,1006.6
CHOLAFIN,Financial Services,Improving,Strong,N,1771.5
SHRIRAMFIN,Financial Services,Improving,Strong,N,1013.9
BHEL,Capital Goods,Improving,Strong,Y,403.9
BAJAJFINSV,Financial Services,Improving,Neutral,Y,1869.2
SBICARD,Financial Services,Improving,Neutral,Y,638.85
HCLTECH,IT,Improving,Neutral,Y,1166.7
TECHM,IT,Improving,Neutral,Y,1484.3
MARUTI,Auto,Improving,Neutral,N,13489.0
M&M,Auto,Improving,Neutral,N,3093.3
BAJAJ-AUTO,Auto,Improving,Neutral,Y,10166.0
EICHERMOT,Auto,Improving,Neutral,N,7279.5
LT,Capital Goods,Improving,Neutral,N,3848.7
CUMMINSIND,Capital Goods,Improving,Neutral,N,5493.5
TCS,IT,Improving,Weak,Y,2200.6
INFY,IT,Improving,Weak,Y,1092.9
WIPRO,IT,Improving,Weak,Y,177.14
SIEMENS,Capital Goods,Improving,Weak,N,3510.3
ABB,Capital Goods,Improving,Weak,N,6892.0
