Symbol,Sector,Sector Trend,Relative Strength,Above 20 SMA,Current Price
DLF,Realty,Strong,Strong,Y,684.7
GODREJPROP,Realty,Strong,Strong,Y,2122.4
OBEROIRLTY,Realty,Strong,Strong,Y,1919.4
PRESTIGE,Realty,Strong,Strong,Y,1733.7
PHOENIXLTD,Realty,Strong,Strong,Y,2135.9
HDFCBANK,Banking,Improving,Strong,Y,826.25
ICICIBANK,Banking,Improving,Strong,Y,1406.4
BAJFINANCE,Financial Services,Improving,Strong,Y,1016.5
BAJAJFINSV,Financial Services,Improving,Strong,Y,1912.6
CHOLAFIN,Financial Services,Improving,Strong,Y,1807.0
SHRIRAMFIN,Financial Services,Improving,Strong,Y,1042.3
SUNPHARMA,Pharma,Improving,Strong,Y,1931.3
CIPLA,Pharma,Improving,Strong,Y,1439.7
LUPIN,Pharma,Improving,Strong,Y,2490.2
SBIN,Banking,Improving,Neutral,Y,1036.9
AXISBANK,Banking,Improving,Neutral,N,1320.2
KOTAKBANK,Banking,Improving,Neutral,N,379.5
HCLTECH,IT,Improving,Neutral,Y,1159.3
TECHM,IT,Improving,Neutral,Y,1452.9
DIVISLAB,Pharma,Improving,Neutral,Y,6811.5
SBICARD,Financial Services,Improving,Weak,Y,614.0
TCS,IT,Improving,Weak,N,2074.2
INFY,IT,Improving,Weak,Y,1070.6
WIPRO,IT,Improving,Weak,N,175.7
DRREDDY,Pharma,Improving,Weak,N,1240.6
