Symbol,Sector,Catalyst Tag,Current Price,Above 20 SMA,Relative Strength,Volume Expansion,Distance from 52W High (%),Technical Status
BIOCON,Healthcare,BIG_BLOCK_BUY,437.3,Y,Strong,Y,1.62,Ready
JUSTDIAL,Communication Services,BIG_BULK_BUY,790.15,Y,Strong,Y,17.51,Ready
AGIIL,Real Estate,BIG_BULK_BUY,343.35,N,Weak,Y,20.96,Avoid
YATHARTH,Healthcare,BIG_BULK_BUY,829.2,N,Neutral,Y,6.82,Monitor
WANBURY,Healthcare,BIG_BULK_BUY,336.0,Y,Strong,Y,3.99,Ready
RAMCOSYS,Technology,BIG_BULK_BUY,816.65,Y,Strong,N,15.59,Monitor
KALYANKJIL,Consumer Cyclical,BIG_BULK_BUY,529.75,Y,Strong,Y,13.99,Ready
FINOPB,Financial Services,BIG_BULK_BUY,176.4,Y,Strong,Y,47.96,Ready
ORIENTTECH,Technology,BIG_BULK_BUY,280.8,Y,Neutral,Y,39.84,Ready
LANDMARK,Consumer Cyclical,BIG_BULK_BUY,496.4,Y,Strong,Y,25.11,Ready
TBZ,Consumer Cyclical,BIG_BULK_BUY,259.97,Y,Strong,Y,1.88,Ready
DYCL,Industrials,BIG_BULK_BUY,390.85,Y,Neutral,Y,25.7,Ready
ZENSARTECH,Technology,BIG_BULK_BUY,527.9,Y,Neutral,N,39.04,Monitor
HARIOMPIPE,Basic Materials,BIG_BULK_BUY,400.45,Y,Strong,Y,29.94,Ready
IKIO,Technology,BIG_BULK_BUY,214.04,Y,Strong,Y,15.37,Ready
BMLL,Unknown,REPEAT_BUYING,,N,Neutral,N,,Monitor
SAKSOFT,Technology,REPEAT_BUYING,178.58,Y,Strong,N,29.4,Monitor
SHAREINDIA,Financial Services,REPEAT_BUYING,177.76,Y,Strong,N,15.34,Monitor
JINDRILL,Energy,REPEAT_BUYING,626.2,Y,Strong,N,9.7,Ready
KNACK,Consumer Cyclical,REPEAT_BUYING,205.06,N,Neutral,N,7.09,Monitor
MASTERTR,Financial Services,REPEAT_BUYING,93.07,Y,Strong,N,45.39,Monitor
