Symbol,Sector,Catalyst Tag,Current Price,Above 20 SMA,Relative Strength,Volume Expansion,Distance from 52W High (%),Technical Status
SHAREINDIA,Financial Services,BIG_BULK_BUY,179.0,Y,Strong,Y,14.75,Ready
BAYERCROP,Basic Materials,BIG_BLOCK_BUY,4132.7,N,Weak,N,34.86,Avoid
JINDRILL,Energy,BIG_BULK_BUY,650.95,Y,Strong,Y,6.14,Ready
CGCL,Financial Services,BIG_BULK_BUY,248.24,Y,Strong,N,0.82,Ready
RAMCOSYS,Technology,BIG_BULK_BUY,865.8,Y,Strong,N,10.51,Ready
SAKSOFT,Technology,BIG_BULK_BUY,171.88,Y,Strong,N,32.05,Monitor
MASTERTR,Financial Services,BIG_BULK_BUY,93.97,Y,Strong,Y,44.86,Ready
ATALREAL,Industrials,BIG_BULK_BUY,28.62,N,Strong,N,10.56,Monitor
GCSL,Financial Services,REPEAT_BUYING,481.15,Y,Strong,N,3.96,Ready
ITDC,Consumer Cyclical,BIG_BULK_BUY,754.65,Y,Strong,Y,1.83,Ready
KALYANKJIL,Consumer Cyclical,BIG_BULK_BUY,419.3,Y,Neutral,Y,31.92,Ready
KNACK,Consumer Cyclical,BIG_BULK_BUY,194.11,N,Neutral,N,4.85,Monitor
GEMAROMA,Basic Materials,BIG_BULK_BUY,213.2,Y,Strong,Y,39.02,Ready
IOLCP,Healthcare,BIG_BULK_BUY,170.59,Y,Strong,N,4.11,Ready
AGIIL,Real Estate,BIG_BULK_BUY,341.35,N,Weak,N,21.42,Avoid
RATNAVEER,Basic Materials,BIG_BULK_BUY,182.49,Y,Strong,N,7.37,Ready
IWARE,Unknown,BIG_BULK_BUY,,N,Neutral,N,,Monitor
MODIS,Real Estate,BIG_BULK_BUY,342.4,Y,Weak,N,17.51,Monitor
MAGSON,Unknown,REPEAT_BUYING,170.85,Y,Weak,N,14.36,Monitor
BMLL,Unknown,REPEAT_BUYING,,N,Neutral,N,,Monitor
COMSYN,Consumer Cyclical,REPEAT_BUYING,197.0,Y,Strong,N,7.51,Ready
RITES,Industrials,REPEAT_BUYING,225.22,Y,Neutral,N,19.02,Monitor
SIGNPOST,Communication Services,REPEAT_BUYING,317.85,Y,Strong,N,2.2,Ready
