Symbol,Sector,Catalyst Tag,Current Price,Above 20 SMA,Relative Strength,Volume Expansion,Distance from 52W High (%),Technical Status
ROUTE,Communication Services,BIG_BULK_BUY,600.45,Y,Strong,Y,36.53,Ready
BLUESTONE,Consumer Cyclical,BIG_BULK_BUY,747.0,Y,Strong,Y,14.09,Ready
GANDHAR,Energy,BIG_BULK_BUY,281.95,Y,Strong,Y,0.52,Ready
LOTUSDEV,Industrials,BIG_BULK_BUY,173.57,Y,Strong,Y,20.56,Ready
OFSS,Technology,BIG_BULK_BUY,10851.0,N,Strong,N,9.42,Monitor
TANLA,Technology,BIG_BULK_BUY,618.5,Y,Strong,Y,17.54,Ready
WAKEFIT,Consumer Cyclical,BIG_BULK_BUY,134.18,Y,Strong,Y,40.1,Ready
AASTHA,Consumer Cyclical,BIG_BULK_BUY,103.0,N,Neutral,N,26.43,Monitor
AGIIL,Real Estate,BIG_BULK_BUY,319.35,N,Weak,N,26.48,Avoid
HUHTAMAKI,Consumer Cyclical,BIG_BULK_BUY,297.38,Y,Strong,Y,6.98,Ready
ASIANTILES,Industrials,BIG_BULK_BUY,51.88,Y,Weak,Y,34.38,Monitor
ATALREAL,Industrials,BIG_BULK_BUY,30.99,Y,Strong,N,5.23,Ready
MOTISONS,Consumer Cyclical,BIG_BULK_BUY,14.18,Y,Strong,N,38.72,Monitor
FEDDERSHOL,Unknown,REPEAT_BUYING,47.87,Y,Strong,Y,10.51,Ready
