Symbol,Sector,Catalyst,Relative Strength,Above 20 SMA,Volume Expansion,Technical Status,Tier
BAJAJFINSV,Financial Services,Improving Sector,Strong,Y,-,-,2
BAJFINANCE,Financial Services,Improving Sector,Strong,Y,-,-,2
BHEL,Capital Goods,Improving Sector,Strong,N,-,-,2
CHOLAFIN,Financial Services,Improving Sector,Strong,Y,-,-,2
CIPLA,Pharma,Improving Sector,Strong,Y,-,-,2
CUMMINSIND,Capital Goods,Improving Sector,Strong,N,-,-,2
DIVISLAB,Pharma,Improving Sector,Strong,Y,-,-,2
DLF,Realty,Strong Sector,Strong,Y,-,-,2
DRREDDY,Pharma,Improving Sector,Strong,Y,-,-,2
GAIL,PSU,Improving Sector,Strong,Y,-,-,2
GODREJPROP,Realty,Strong Sector,Strong,Y,-,-,2
ICICIBANK,Banking,Improving Sector,Strong,Y,-,-,2
KOTAKBANK,Banking,Improving Sector,Strong,N,-,-,2
LUPIN,Pharma,Improving Sector,Strong,Y,-,-,2
M&M,Auto,Improving Sector,Strong,Y,-,-,2
MARUTI,Auto,Improving Sector,Strong,Y,-,-,2
OBEROIRLTY,Realty,Strong Sector,Strong,Y,-,-,2
PHOENIXLTD,Realty,Strong Sector,Strong,Y,-,-,2
PRESTIGE,Realty,Strong Sector,Strong,Y,-,-,2
SHRIRAMFIN,Financial Services,Improving Sector,Strong,Y,-,-,2
SUNPHARMA,Pharma,Improving Sector,Strong,Y,-,-,2
ABB,Capital Goods,Improving Sector,Neutral,N,-,-,2
AXISBANK,Banking,Improving Sector,Neutral,Y,-,-,2
BAJAJ-AUTO,Auto,Improving Sector,Neutral,N,-,-,2
BDL,Defence,Strong Sector,Neutral,Y,-,-,2
BEL,Defence,Strong Sector,Neutral,Y,-,-,2
BRITANNIA,FMCG,Improving Sector,Neutral,Y,-,-,2
COALINDIA,PSU,Improving Sector,Neutral,N,-,-,2
DABUR,FMCG,Improving Sector,Neutral,Y,-,-,2
EICHERMOT,Auto,Improving Sector,Neutral,N,-,-,2
HAL,Defence,Strong Sector,Neutral,Y,-,-,2
HDFCBANK,Banking,Improving Sector,Neutral,Y,-,-,2
HINDUNILVR,FMCG,Improving Sector,Neutral,Y,-,-,2
ITC,FMCG,Improving Sector,Neutral,Y,-,-,2
LT,Capital Goods,Improving Sector,Neutral,N,-,-,2
MAZDOCK,Defence,Strong Sector,Neutral,Y,-,-,2
NESTLEIND,FMCG,Improving Sector,Neutral,Y,-,-,2
SBIN,Banking,Improving Sector,Neutral,Y,-,-,2
COCHINSHIP,Defence,Strong Sector,Weak,Y,-,-,2
NTPC,PSU,Improving Sector,Weak,Y,-,-,2
ONGC,PSU,Improving Sector,Weak,N,-,-,2
POWERGRID,PSU,Improving Sector,Weak,Y,-,-,2
SBICARD,Financial Services,Improving Sector,Weak,Y,-,-,2
SIEMENS,Capital Goods,Improving Sector,Weak,N,-,-,2
ADFFOODS,Consumer Defensive,BIG_BULK_BUY,Strong,Y,N,Ready,3
ATALREAL,Industrials,BIG_BULK_BUY,Strong,N,N,Monitor,3
BHARATSE,Consumer Cyclical,BIG_BULK_BUY,Strong,Y,Y,Ready,3
COMSYN,Consumer Cyclical,BIG_BULK_BUY,Strong,Y,Y,Ready,3
DPEL,Unknown,BIG_BULK_BUY,Strong,Y,Y,Ready,3
GCSL,Financial Services,BIG_BULK_BUY,Strong,Y,Y,Ready,3
IKIO,Technology,BIG_BULK_BUY,Strong,Y,Y,Ready,3
RAMCOSYS,Technology,BIG_BULK_BUY,Strong,Y,N,Ready,3
SAKSOFT,Technology,BIG_BULK_BUY,Strong,Y,N,Monitor,3
SIGNPOST,Communication Services,BIG_BULK_BUY,Strong,Y,N,Ready,3
CONTROLPR,Industrials,BIG_BULK_BUY,Neutral,Y,N,Monitor,3
ORIENTTECH,Technology,BIG_BULK_BUY,Neutral,Y,N,Monitor,3
RHIM,Industrials,BIG_BULK_BUY,Neutral,Y,N,Monitor,3
ZENSARTECH,Technology,BIG_BULK_BUY,Neutral,Y,Y,Ready,3
KPITTECH,Technology,BIG_BULK_BUY,Weak,N,N,Avoid,3
