Symbol,Sector,Catalyst,Relative Strength,Above 20 SMA,Volume Expansion,Technical Status,Tier
BAJAJFINSV,Financial Services,Improving Sector,Strong,Y,-,-,2
BAJFINANCE,Financial Services,Improving Sector,Strong,Y,-,-,2
BHEL,Capital Goods,Improving Sector,Strong,N,-,-,2
CHOLAFIN,Financial Services,Improving Sector,Strong,Y,-,-,2
CIPLA,Pharma,Improving Sector,Strong,Y,-,-,2
CUMMINSIND,Capital Goods,Improving Sector,Strong,N,-,-,2
DIVISLAB,Pharma,Improving Sector,Strong,Y,-,-,2
DLF,Realty,Improving Sector,Strong,Y,-,-,2
DRREDDY,Pharma,Improving Sector,Strong,Y,-,-,2
GODREJPROP,Realty,Improving Sector,Strong,Y,-,-,2
HAL,Defence,Improving Sector,Strong,Y,-,-,2
ICICIBANK,Banking,Strong Sector,Strong,Y,-,-,2
KOTAKBANK,Banking,Strong Sector,Strong,N,-,-,2
LUPIN,Pharma,Improving Sector,Strong,Y,-,-,2
M&M,Auto,Improving Sector,Strong,Y,-,-,2
MARUTI,Auto,Improving Sector,Strong,Y,-,-,2
OBEROIRLTY,Realty,Improving Sector,Strong,Y,-,-,2
PHOENIXLTD,Realty,Improving Sector,Strong,Y,-,-,2
PRESTIGE,Realty,Improving Sector,Strong,Y,-,-,2
SHRIRAMFIN,Financial Services,Improving Sector,Strong,Y,-,-,2
SUNPHARMA,Pharma,Improving Sector,Strong,Y,-,-,2
ABB,Capital Goods,Improving Sector,Neutral,N,-,-,2
AXISBANK,Banking,Strong Sector,Neutral,N,-,-,2
BAJAJ-AUTO,Auto,Improving Sector,Neutral,N,-,-,2
BDL,Defence,Improving Sector,Neutral,Y,-,-,2
BEL,Defence,Improving Sector,Neutral,Y,-,-,2
BRITANNIA,FMCG,Improving Sector,Neutral,Y,-,-,2
DABUR,FMCG,Improving Sector,Neutral,Y,-,-,2
EICHERMOT,Auto,Improving Sector,Neutral,N,-,-,2
HDFCBANK,Banking,Strong Sector,Neutral,Y,-,-,2
HINDUNILVR,FMCG,Improving Sector,Neutral,Y,-,-,2
ITC,FMCG,Improving Sector,Neutral,Y,-,-,2
LT,Capital Goods,Improving Sector,Neutral,N,-,-,2
MAZDOCK,Defence,Improving Sector,Neutral,Y,-,-,2
NESTLEIND,FMCG,Improving Sector,Neutral,Y,-,-,2
SBIN,Banking,Strong Sector,Neutral,Y,-,-,2
COCHINSHIP,Defence,Improving Sector,Weak,Y,-,-,2
SBICARD,Financial Services,Improving Sector,Weak,N,-,-,2
SIEMENS,Capital Goods,Improving Sector,Weak,N,-,-,2
ATALREAL,Industrials,REPEAT_BUYING,Strong,N,N,Monitor,3
BHARATSE,Consumer Cyclical,BIG_BULK_BUY,Strong,Y,Y,Ready,3
COMSYN,Consumer Cyclical,BIG_BULK_BUY,Strong,Y,Y,Ready,3
DENTA,Industrials,BIG_BULK_BUY,Strong,Y,Y,Ready,3
GCSL,Financial Services,BIG_BULK_BUY,Strong,Y,Y,Ready,3
IKIO,Technology,BIG_BULK_BUY,Strong,Y,Y,Ready,3
INDOFARM,Industrials,BIG_BULK_BUY,Strong,Y,Y,Ready,3
PCJEWELLER,Consumer Cyclical,BIG_BULK_BUY,Strong,Y,Y,Ready,3
RAMCOSYS,Technology,BIG_BULK_BUY,Strong,Y,N,Ready,3
SAKSOFT,Technology,BIG_BULK_BUY,Strong,Y,N,Monitor,3
SIGNPOST,Communication Services,REPEAT_BUYING,Strong,Y,N,Ready,3
VISL,Basic Materials,BIG_BULK_BUY,Neutral,N,N,Monitor,3
ZENSARTECH,Technology,BIG_BULK_BUY,Neutral,Y,Y,Ready,3
