Symbol,Sector,Sector Trend,Relative Strength,Above 20 SMA,Current Price
DLF,Realty,Strong,Strong,Y,660.7
GODREJPROP,Realty,Strong,Strong,Y,2057.9
OBEROIRLTY,Realty,Strong,Strong,Y,1911.1
PRESTIGE,Realty,Strong,Strong,Y,1677.0
PHOENIXLTD,Realty,Strong,Strong,Y,2067.0
HDFCBANK,Banking,Improving,Strong,Y,830.15
ICICIBANK,Banking,Improving,Strong,Y,1416.7
BAJFINANCE,Financial Services,Improving,Strong,Y,1028.3
BAJAJFINSV,Financial Services,Improving,Strong,Y,1882.5
CHOLAFIN,Financial Services,Improving,Strong,Y,1841.0
SHRIRAMFIN,Financial Services,Improving,Strong,Y,1047.1
MARUTI,Auto,Improving,Strong,Y,14286.0
BAJAJ-AUTO,Auto,Improving,Strong,Y,10146.0
SUNPHARMA,Pharma,Improving,Strong,Y,1913.1
CIPLA,Pharma,Improving,Strong,Y,1456.6
LUPIN,Pharma,Improving,Strong,Y,2517.5
SBIN,Banking,Improving,Neutral,N,1032.7
AXISBANK,Banking,Improving,Neutral,N,1334.5
KOTAKBANK,Banking,Improving,Neutral,N,379.45
HCLTECH,IT,Improving,Neutral,Y,1161.4
TECHM,IT,Improving,Neutral,Y,1442.1
M&M,Auto,Improving,Neutral,Y,3169.9
EICHERMOT,Auto,Improving,Neutral,N,7400.0
DRREDDY,Pharma,Improving,Neutral,Y,1366.8
DIVISLAB,Pharma,Improving,Neutral,Y,6849.0
HAL,Defence,Improving,Neutral,Y,4408.0
BDL,Defence,Improving,Neutral,Y,1380.4
SBICARD,Financial Services,Improving,Weak,N,595.0
TCS,IT,Improving,Weak,N,2081.5
INFY,IT,Improving,Weak,N,1068.9
WIPRO,IT,Improving,Weak,N,174.4
BEL,Defence,Improving,Weak,N,415.5
MAZDOCK,Defence,Improving,Weak,Y,2509.2
COCHINSHIP,Defence,Improving,Weak,N,1413.9
