Symbol,Sector,Catalyst Tag,Current Price,Above 20 SMA,Relative Strength,Volume Expansion,Distance from 52W High (%),Technical Status
RITES,Industrials,BIG_BULK_BUY,225.76,Y,Neutral,N,19.5,Monitor
RAMCOSYS,Technology,BIG_BULK_BUY,872.3,Y,Strong,N,5.18,Ready
CAPITALSFB,Financial Services,BIG_BLOCK_BUY,294.55,Y,Strong,N,8.24,Ready
SAKSOFT,Technology,BIG_BULK_BUY,171.4,Y,Strong,N,32.24,Monitor
SIGNPOST,Communication Services,REPEAT_BUYING,307.3,Y,Strong,N,5.15,Ready
SHAREINDIA,Financial Services,BIG_BULK_BUY,185.83,Y,Strong,Y,11.49,Ready
TARC,Real Estate,BIG_BULK_BUY,125.44,N,Weak,N,39.14,Avoid
IOLCP,Healthcare,BIG_BULK_BUY,166.57,Y,Strong,N,3.91,Ready
ITDC,Consumer Cyclical,BIG_BULK_BUY,700.05,Y,Strong,Y,5.65,Ready
MOTISONS,Consumer Cyclical,BIG_BULK_BUY,14.63,Y,Neutral,N,39.09,Monitor
MANCREDIT,Financial Services,BIG_BULK_BUY,235.1,Y,Strong,N,11.28,Ready
ATALREAL,Industrials,REPEAT_BUYING,28.65,N,Strong,N,10.47,Monitor
GCSL,Financial Services,REPEAT_BUYING,482.7,Y,Strong,N,3.65,Ready
BMLL,Unknown,REPEAT_BUYING,,N,Neutral,N,,Monitor
COMSYN,Consumer Cyclical,REPEAT_BUYING,198.47,Y,Strong,N,6.82,Ready
