Symbol,Sector,Sector Trend,Relative Strength,Above 20 SMA,Current Price
ICICIBANK,Banking,Strong,Strong,Y,1411.4
KOTAKBANK,Banking,Strong,Strong,N,396.75
HDFCBANK,Banking,Strong,Neutral,Y,801.05
SBIN,Banking,Strong,Neutral,Y,1040.0
AXISBANK,Banking,Strong,Neutral,N,1342.1
BAJFINANCE,Financial Services,Improving,Strong,Y,1031.4
BAJAJFINSV,Financial Services,Improving,Strong,Y,1895.6
CHOLAFIN,Financial Services,Improving,Strong,Y,1789.8
SHRIRAMFIN,Financial Services,Improving,Strong,Y,1063.6
MARUTI,Auto,Improving,Strong,Y,14366.0
M&M,Auto,Improving,Strong,Y,3136.9
SUNPHARMA,Pharma,Improving,Strong,Y,1904.8
DRREDDY,Pharma,Improving,Strong,Y,1374.1
CIPLA,Pharma,Improving,Strong,Y,1458.2
DIVISLAB,Pharma,Improving,Strong,Y,6757.0
LUPIN,Pharma,Improving,Strong,Y,2476.0
BHEL,Capital Goods,Improving,Strong,N,383.6
CUMMINSIND,Capital Goods,Improving,Strong,N,5478.0
HAL,Defence,Improving,Strong,Y,4428.9
DLF,Realty,Improving,Strong,Y,675.9
GODREJPROP,Realty,Improving,Strong,Y,1996.4
OBEROIRLTY,Realty,Improving,Strong,Y,1934.4
PRESTIGE,Realty,Improving,Strong,Y,1668.0
PHOENIXLTD,Realty,Improving,Strong,Y,2047.6
BAJAJ-AUTO,Auto,Improving,Neutral,N,9785.5
EICHERMOT,Auto,Improving,Neutral,N,7339.5
HINDUNILVR,FMCG,Improving,Neutral,Y,2201.2
ITC,FMCG,Improving,Neutral,Y,289.95
NESTLEIND,FMCG,Improving,Neutral,Y,1459.8
BRITANNIA,FMCG,Improving,Neutral,Y,5379.0
DABUR,FMCG,Improving,Neutral,Y,444.35
LT,Capital Goods,Improving,Neutral,N,4026.6
ABB,Capital Goods,Improving,Neutral,N,6950.5
BEL,Defence,Improving,Neutral,Y,418.05
BDL,Defence,Improving,Neutral,Y,1388.2
MAZDOCK,Defence,Improving,Neutral,Y,2543.6
SBICARD,Financial Services,Improving,Weak,N,603.8
SIEMENS,Capital Goods,Improving,Weak,N,3536.3
COCHINSHIP,Defence,Improving,Weak,Y,1524.1
