Symbol,Sector,Sector Trend,Relative Strength,Above 20 SMA,Current Price
DLF,Realty,Strong,Strong,Y,671.85
GODREJPROP,Realty,Strong,Strong,Y,1995.5
OBEROIRLTY,Realty,Strong,Strong,Y,1909.4
PRESTIGE,Realty,Strong,Strong,Y,1664.0
PHOENIXLTD,Realty,Strong,Strong,Y,2056.8
HAL,Defence,Strong,Neutral,Y,4466.2
BEL,Defence,Strong,Neutral,Y,419.65
BDL,Defence,Strong,Neutral,Y,1391.0
MAZDOCK,Defence,Strong,Neutral,Y,2556.0
COCHINSHIP,Defence,Strong,Weak,Y,1530.0
ICICIBANK,Banking,Improving,Strong,Y,1412.5
KOTAKBANK,Banking,Improving,Strong,N,396.85
BAJFINANCE,Financial Services,Improving,Strong,Y,1035.0
BAJAJFINSV,Financial Services,Improving,Strong,Y,1898.9
CHOLAFIN,Financial Services,Improving,Strong,Y,1798.3
SHRIRAMFIN,Financial Services,Improving,Strong,Y,1072.9
MARUTI,Auto,Improving,Strong,Y,14435.0
M&M,Auto,Improving,Strong,Y,3155.7
SUNPHARMA,Pharma,Improving,Strong,Y,1911.0
DRREDDY,Pharma,Improving,Strong,Y,1384.3
CIPLA,Pharma,Improving,Strong,Y,1465.6
DIVISLAB,Pharma,Improving,Strong,Y,6793.5
LUPIN,Pharma,Improving,Strong,Y,2467.1
BHEL,Capital Goods,Improving,Strong,N,385.1
CUMMINSIND,Capital Goods,Improving,Strong,N,5479.0
GAIL,PSU,Improving,Strong,Y,174.0
HDFCBANK,Banking,Improving,Neutral,Y,801.75
SBIN,Banking,Improving,Neutral,Y,1036.3
AXISBANK,Banking,Improving,Neutral,Y,1351.5
BAJAJ-AUTO,Auto,Improving,Neutral,N,9802.5
EICHERMOT,Auto,Improving,Neutral,N,7300.0
HINDUNILVR,FMCG,Improving,Neutral,Y,2206.8
ITC,FMCG,Improving,Neutral,Y,290.35
NESTLEIND,FMCG,Improving,Neutral,Y,1453.0
BRITANNIA,FMCG,Improving,Neutral,Y,5391.5
DABUR,FMCG,Improving,Neutral,Y,444.0
LT,Capital Goods,Improving,Neutral,N,4036.4
ABB,Capital Goods,Improving,Neutral,N,6901.0
COALINDIA,PSU,Improving,Neutral,N,442.15
SBICARD,Financial Services,Improving,Weak,Y,604.85
SIEMENS,Capital Goods,Improving,Weak,N,3525.1
ONGC,PSU,Improving,Weak,N,238.68
NTPC,PSU,Improving,Weak,Y,359.2
POWERGRID,PSU,Improving,Weak,Y,291.2
