Symbol,Sector,Catalyst,Relative Strength,Above 20 SMA,Volume Expansion,Technical Status,Tier
BAJAJ-AUTO,Auto,Improving Sector,Strong,Y,-,-,2
BAJAJFINSV,Financial Services,Improving Sector,Strong,Y,-,-,2
BAJFINANCE,Financial Services,Improving Sector,Strong,Y,-,-,2
CHOLAFIN,Financial Services,Improving Sector,Strong,Y,-,-,2
CIPLA,Pharma,Improving Sector,Strong,Y,-,-,2
DLF,Realty,Strong Sector,Strong,Y,-,-,2
GODREJPROP,Realty,Strong Sector,Strong,Y,-,-,2
HDFCBANK,Banking,Improving Sector,Strong,Y,-,-,2
ICICIBANK,Banking,Improving Sector,Strong,Y,-,-,2
LUPIN,Pharma,Improving Sector,Strong,Y,-,-,2
MARUTI,Auto,Improving Sector,Strong,Y,-,-,2
OBEROIRLTY,Realty,Strong Sector,Strong,Y,-,-,2
PHOENIXLTD,Realty,Strong Sector,Strong,Y,-,-,2
PRESTIGE,Realty,Strong Sector,Strong,Y,-,-,2
SHRIRAMFIN,Financial Services,Improving Sector,Strong,Y,-,-,2
SUNPHARMA,Pharma,Improving Sector,Strong,Y,-,-,2
AXISBANK,Banking,Improving Sector,Neutral,N,-,-,2
BDL,Defence,Improving Sector,Neutral,Y,-,-,2
DIVISLAB,Pharma,Improving Sector,Neutral,Y,-,-,2
DRREDDY,Pharma,Improving Sector,Neutral,Y,-,-,2
EICHERMOT,Auto,Improving Sector,Neutral,N,-,-,2
HAL,Defence,Improving Sector,Neutral,Y,-,-,2
HCLTECH,IT,Improving Sector,Neutral,Y,-,-,2
KOTAKBANK,Banking,Improving Sector,Neutral,N,-,-,2
M&M,Auto,Improving Sector,Neutral,Y,-,-,2
SBIN,Banking,Improving Sector,Neutral,N,-,-,2
TECHM,IT,Improving Sector,Neutral,Y,-,-,2
BEL,Defence,Improving Sector,Weak,N,-,-,2
COCHINSHIP,Defence,Improving Sector,Weak,N,-,-,2
INFY,IT,Improving Sector,Weak,N,-,-,2
MAZDOCK,Defence,Improving Sector,Weak,Y,-,-,2
SBICARD,Financial Services,Improving Sector,Weak,N,-,-,2
TCS,IT,Improving Sector,Weak,N,-,-,2
WIPRO,IT,Improving Sector,Weak,N,-,-,2
ATALREAL,Industrials,REPEAT_BUYING,Strong,N,N,Monitor,3
CAPITALSFB,Financial Services,BIG_BLOCK_BUY,Strong,Y,N,Ready,3
COMSYN,Consumer Cyclical,REPEAT_BUYING,Strong,Y,N,Ready,3
GCSL,Financial Services,REPEAT_BUYING,Strong,Y,N,Ready,3
IOLCP,Healthcare,BIG_BULK_BUY,Strong,Y,N,Ready,3
ITDC,Consumer Cyclical,BIG_BULK_BUY,Strong,Y,Y,Ready,3
MANCREDIT,Financial Services,BIG_BULK_BUY,Strong,Y,N,Ready,3
RAMCOSYS,Technology,BIG_BULK_BUY,Strong,Y,N,Ready,3
SAKSOFT,Technology,BIG_BULK_BUY,Strong,Y,N,Monitor,3
SHAREINDIA,Financial Services,BIG_BULK_BUY,Strong,Y,Y,Ready,3
SIGNPOST,Communication Services,REPEAT_BUYING,Strong,Y,N,Ready,3
BMLL,Unknown,REPEAT_BUYING,Neutral,N,N,Monitor,3
MOTISONS,Consumer Cyclical,BIG_BULK_BUY,Neutral,Y,N,Monitor,3
RITES,Industrials,BIG_BULK_BUY,Neutral,Y,N,Monitor,3
TARC,Real Estate,BIG_BULK_BUY,Weak,N,N,Avoid,3
