Symbol,Sector,Sector Trend,Relative Strength,Above 20 SMA,Current Price
HCLTECH,IT,Strong,Strong,Y,1244.7
TECHM,IT,Strong,Strong,Y,1560.6
CIPLA,Pharma,Strong,Strong,N,1415.1
DIVISLAB,Pharma,Strong,Strong,Y,7386.5
LUPIN,Pharma,Strong,Strong,N,2406.9
DLF,Realty,Strong,Strong,N,646.0
GODREJPROP,Realty,Strong,Strong,Y,2081.1
OBEROIRLTY,Realty,Strong,Strong,N,1849.5
PRESTIGE,Realty,Strong,Strong,Y,1663.1
PHOENIXLTD,Realty,Strong,Strong,Y,2055.6
TCS,IT,Strong,Neutral,Y,2242.9
INFY,IT,Strong,Neutral,N,1047.4
SUNPHARMA,Pharma,Strong,Neutral,Y,1954.0
WIPRO,IT,Strong,Weak,Y,174.82
DRREDDY,Pharma,Strong,Weak,N,1166.3
BAJFINANCE,Financial Services,Improving,Strong,Y,1039.8
BAJAJFINSV,Financial Services,Improving,Strong,Y,1876.4
CHOLAFIN,Financial Services,Improving,Strong,N,1728.0
SHRIRAMFIN,Financial Services,Improving,Strong,N,1025.8
BAJAJ-AUTO,Auto,Improving,Strong,Y,11283.5
EICHERMOT,Auto,Improving,Strong,Y,7632.0
SBICARD,Financial Services,Improving,Neutral,Y,626.85
MARUTI,Auto,Improving,Neutral,N,13545.0
M&M,Auto,Improving,Neutral,Y,3229.7
