Symbol,Sector,Catalyst,Relative Strength,Above 20 SMA,Volume Expansion,Technical Status,Tier
BAJFINANCE,Financial Services,Improving Sector,Strong,Y,-,-,2
BHEL,Capital Goods,Improving Sector,Strong,Y,-,-,2
CHOLAFIN,Financial Services,Improving Sector,Strong,N,-,-,2
CIPLA,Pharma,Strong Sector,Strong,Y,-,-,2
DIVISLAB,Pharma,Strong Sector,Strong,Y,-,-,2
DLF,Realty,Strong Sector,Strong,Y,-,-,2
GODREJPROP,Realty,Strong Sector,Strong,Y,-,-,2
LUPIN,Pharma,Strong Sector,Strong,Y,-,-,2
OBEROIRLTY,Realty,Strong Sector,Strong,Y,-,-,2
PHOENIXLTD,Realty,Strong Sector,Strong,Y,-,-,2
PRESTIGE,Realty,Strong Sector,Strong,Y,-,-,2
SHRIRAMFIN,Financial Services,Improving Sector,Strong,N,-,-,2
SUNPHARMA,Pharma,Strong Sector,Strong,Y,-,-,2
BAJAJ-AUTO,Auto,Improving Sector,Neutral,Y,-,-,2
BAJAJFINSV,Financial Services,Improving Sector,Neutral,Y,-,-,2
CUMMINSIND,Capital Goods,Improving Sector,Neutral,N,-,-,2
DRREDDY,Pharma,Strong Sector,Neutral,N,-,-,2
EICHERMOT,Auto,Improving Sector,Neutral,N,-,-,2
HCLTECH,IT,Improving Sector,Neutral,Y,-,-,2
LT,Capital Goods,Improving Sector,Neutral,N,-,-,2
M&M,Auto,Improving Sector,Neutral,N,-,-,2
MARUTI,Auto,Improving Sector,Neutral,N,-,-,2
SBICARD,Financial Services,Improving Sector,Neutral,Y,-,-,2
TECHM,IT,Improving Sector,Neutral,Y,-,-,2
ABB,Capital Goods,Improving Sector,Weak,N,-,-,2
INFY,IT,Improving Sector,Weak,Y,-,-,2
SIEMENS,Capital Goods,Improving Sector,Weak,N,-,-,2
TCS,IT,Improving Sector,Weak,Y,-,-,2
WIPRO,IT,Improving Sector,Weak,Y,-,-,2
BIOCON,Healthcare,BIG_BLOCK_BUY,Strong,Y,Y,Ready,3
FINOPB,Financial Services,BIG_BULK_BUY,Strong,Y,Y,Ready,3
HARIOMPIPE,Basic Materials,BIG_BULK_BUY,Strong,Y,Y,Ready,3
IKIO,Technology,BIG_BULK_BUY,Strong,Y,Y,Ready,3
JINDRILL,Energy,REPEAT_BUYING,Strong,Y,N,Ready,3
JUSTDIAL,Communication Services,BIG_BULK_BUY,Strong,Y,Y,Ready,3
KALYANKJIL,Consumer Cyclical,BIG_BULK_BUY,Strong,Y,Y,Ready,3
LANDMARK,Consumer Cyclical,BIG_BULK_BUY,Strong,Y,Y,Ready,3
MASTERTR,Financial Services,REPEAT_BUYING,Strong,Y,N,Monitor,3
RAMCOSYS,Technology,BIG_BULK_BUY,Strong,Y,N,Monitor,3
SAKSOFT,Technology,REPEAT_BUYING,Strong,Y,N,Monitor,3
SHAREINDIA,Financial Services,REPEAT_BUYING,Strong,Y,N,Monitor,3
TBZ,Consumer Cyclical,BIG_BULK_BUY,Strong,Y,Y,Ready,3
WANBURY,Healthcare,BIG_BULK_BUY,Strong,Y,Y,Ready,3
BMLL,Unknown,REPEAT_BUYING,Neutral,N,N,Monitor,3
DYCL,Industrials,BIG_BULK_BUY,Neutral,Y,Y,Ready,3
KNACK,Consumer Cyclical,REPEAT_BUYING,Neutral,N,N,Monitor,3
ORIENTTECH,Technology,BIG_BULK_BUY,Neutral,Y,Y,Ready,3
YATHARTH,Healthcare,BIG_BULK_BUY,Neutral,N,Y,Monitor,3
ZENSARTECH,Technology,BIG_BULK_BUY,Neutral,Y,N,Monitor,3
AGIIL,Real Estate,BIG_BULK_BUY,Weak,N,Y,Avoid,3
