Symbol,Sector,Sector Trend,Relative Strength,Above 20 SMA,Current Price
KOTAKBANK,Banking,Strong,Strong,Y,403.9
BAJFINANCE,Financial Services,Strong,Strong,Y,970.0
CHOLAFIN,Financial Services,Strong,Strong,Y,1733.2
DLF,Realty,Strong,Strong,Y,632.3
GODREJPROP,Realty,Strong,Strong,Y,1825.8
PRESTIGE,Realty,Strong,Strong,Y,1566.1
PHOENIXLTD,Realty,Strong,Strong,Y,1889.1
HDFCBANK,Banking,Strong,Neutral,Y,788.0
ICICIBANK,Banking,Strong,Neutral,Y,1366.6
SBIN,Banking,Strong,Neutral,Y,1036.1
AXISBANK,Banking,Strong,Neutral,Y,1366.6
BAJAJFINSV,Financial Services,Strong,Neutral,Y,1791.9
SHRIRAMFIN,Financial Services,Strong,Neutral,Y,1001.15
OBEROIRLTY,Realty,Strong,Neutral,Y,1736.1
SBICARD,Financial Services,Strong,Weak,Y,619.65
EICHERMOT,Auto,Improving,Strong,Y,7625.0
SUNPHARMA,Pharma,Improving,Strong,Y,1892.0
CIPLA,Pharma,Improving,Strong,Y,1452.3
DIVISLAB,Pharma,Improving,Strong,Y,6834.5
NESTLEIND,FMCG,Improving,Strong,Y,1406.0
LT,Capital Goods,Improving,Strong,Y,4224.5
SIEMENS,Capital Goods,Improving,Strong,Y,3740.8
BHEL,Capital Goods,Improving,Strong,Y,409.75
CUMMINSIND,Capital Goods,Improving,Strong,Y,5820.0
HAL,Defence,Improving,Strong,Y,4505.6
BDL,Defence,Improving,Strong,Y,1422.2
GAIL,PSU,Improving,Strong,Y,174.34
MARUTI,Auto,Improving,Neutral,Y,13322.0
BAJAJ-AUTO,Auto,Improving,Neutral,N,10181.0
DRREDDY,Pharma,Improving,Neutral,Y,1309.7
LUPIN,Pharma,Improving,Neutral,Y,2359.3
HINDUNILVR,FMCG,Improving,Neutral,Y,2167.4
ITC,FMCG,Improving,Neutral,Y,291.6
DABUR,FMCG,Improving,Neutral,N,422.0
ABB,Capital Goods,Improving,Neutral,Y,7215.5
BEL,Defence,Improving,Neutral,Y,429.6
MAZDOCK,Defence,Improving,Neutral,Y,2550.0
COCHINSHIP,Defence,Improving,Neutral,Y,1477.5
COALINDIA,PSU,Improving,Neutral,N,447.65
POWERGRID,PSU,Improving,Neutral,Y,290.6
RELIANCE,Energy,Improving,Neutral,Y,1328.3
BPCL,Energy,Improving,Neutral,Y,310.1
M&M,Auto,Improving,Weak,Y,3077.4
BRITANNIA,FMCG,Improving,Weak,Y,5252.0
ONGC,PSU,Improving,Weak,N,243.75
NTPC,PSU,Improving,Weak,N,365.0
