Signal Date,Symbol,Source Engine,Signal Type,Entry Price,1D %,5D %,20D %,Status
2026-06-22,EPACK,Deal Flow,BIG_BULK_BUY,,,,,no_price
2026-06-22,NOCIL,Deal Flow,BIG_BULK_BUY,,,,,no_price
2026-06-22,SUBROS,Deal Flow,BIG_BULK_BUY,,,,,no_price
2026-06-22,RBA,Deal Flow,BIG_BULK_BUY,,,,,no_price
2026-06-22,EMSLIMITED,Deal Flow,BIG_BULK_BUY,,,,,no_price
2026-06-22,DENTA,Deal Flow,BIG_BULK_BUY,,,,,no_price
2026-06-22,IGARASHI,Deal Flow,BIG_BULK_BUY,,,,,no_price
2026-06-22,KSCL,Deal Flow,BIG_BULK_BUY,,,,,no_price
2026-06-22,NELCO,Deal Flow,BIG_BULK_BUY,,,,,no_price
2026-06-22,VISACHROME,Deal Flow,BIG_BULK_BUY,,,,,no_price
2026-06-22,TFCILTD,Deal Flow,BIG_BULK_BUY,,,,,no_price
2026-06-22,RHETAN,Deal Flow,BIG_BULK_BUY,,,,,no_price
2026-06-22,ASIANTILES,Deal Flow,BIG_BULK_BUY,,,,,no_price
2026-06-22,NIITLTD,Deal Flow,BIG_BULK_BUY,,,,,no_price
2026-06-22,KOTAKBANK,Institutional Flow,Strong,402.1499938964844,-0.12,-1.65,,no_price
2026-06-22,BAJFINANCE,Institutional Flow,Strong,962.384033203125,-0.61,1.42,,no_price
2026-06-22,CHOLAFIN,Institutional Flow,Strong,1718.800048828125,0.41,3.21,,no_price
2026-06-22,DLF,Institutional Flow,Strong,627.5999755859375,-2.43,-2.05,,no_price
2026-06-22,GODREJPROP,Institutional Flow,Strong,1798.9000244140625,-0.51,1.73,,no_price
2026-06-22,PRESTIGE,Institutional Flow,Strong,1512.5,0.01,1.78,,no_price
2026-06-22,PHOENIXLTD,Institutional Flow,Strong,1871.0999755859375,-1.04,2.19,,no_price
2026-06-22,HDFCBANK,Institutional Flow,Strong,786.4000244140625,-1.49,1.59,,no_price
2026-06-22,ICICIBANK,Institutional Flow,Strong,1352.4000244140625,-1.04,2.6,,no_price
2026-06-22,SBIN,Institutional Flow,Strong,1040.75,-1.59,-0.45,,no_price
2026-06-22,AXISBANK,Institutional Flow,Strong,1358.5999755859375,0.36,-0.13,,no_price
2026-06-22,BAJAJFINSV,Institutional Flow,Strong,1780.680419921875,-0.97,-1.28,,no_price
2026-06-22,SHRIRAMFIN,Institutional Flow,Strong,987.265380859375,0.05,4.01,,no_price
2026-06-22,OBEROIRLTY,Institutional Flow,Strong,1691.0999755859375,0.79,3.73,,no_price
2026-06-22,SBICARD,Institutional Flow,Strong,627.7999877929688,-3.28,-4.13,,no_price
2026-06-22,EICHERMOT,Institutional Flow,Improving,7639.5,-0.81,-2.79,,no_price
2026-06-22,SUNPHARMA,Institutional Flow,Improving,1858.030517578125,0.27,0.64,,no_price
2026-06-22,CIPLA,Institutional Flow,Improving,1415.699951171875,1.23,2.71,,no_price
2026-06-22,DIVISLAB,Institutional Flow,Improving,6787.5,-0.6,-3.39,,no_price
2026-06-22,NESTLEIND,Institutional Flow,Improving,1401.9000244140625,-0.69,-1.04,,no_price
2026-06-22,LT,Institutional Flow,Improving,4201.2998046875,-0.52,-0.86,,no_price
2026-06-22,SIEMENS,Institutional Flow,Improving,3767.800048828125,-2.17,-5.17,,no_price
2026-06-22,BHEL,Institutional Flow,Improving,411.5,-2.83,0.55,,no_price
2026-06-22,CUMMINSIND,Institutional Flow,Improving,5764.0,-0.49,-3.86,,no_price
2026-06-22,HAL,Institutional Flow,Improving,4515.2001953125,-0.33,-3.82,,no_price
2026-06-22,BDL,Institutional Flow,Improving,1406.699951171875,-1.14,-5.09,,no_price
2026-06-22,GAIL,Institutional Flow,Improving,177.3000030517578,-1.95,-2.87,,no_price
2026-06-22,MARUTI,Institutional Flow,Improving,13421.0,0.22,-0.07,,no_price
2026-06-22,BAJAJ-AUTO,Institutional Flow,Improving,10191.0,-1.63,-5.5,,no_price
2026-06-22,DRREDDY,Institutional Flow,Improving,1290.699951171875,0.82,6.59,,no_price
2026-06-22,LUPIN,Institutional Flow,Improving,2340.0,0.76,2.96,,no_price
2026-06-22,HINDUNILVR,Institutional Flow,Improving,2162.89990234375,-0.13,-0.54,,no_price
2026-06-22,ITC,Institutional Flow,Improving,291.25,-0.43,-0.19,,no_price
2026-06-22,DABUR,Institutional Flow,Improving,422.25,-0.58,0.96,,no_price
2026-06-22,ABB,Institutional Flow,Improving,7258.0,-1.37,-1.79,,no_price
2026-06-22,BEL,Institutional Flow,Improving,431.5,-2.67,-4.61,,no_price
2026-06-22,MAZDOCK,Institutional Flow,Improving,2541.699951171875,-1.38,-3.73,,no_price
2026-06-22,COCHINSHIP,Institutional Flow,Improving,1476.4000244140625,0.49,-3.31,,no_price
2026-06-22,COALINDIA,Institutional Flow,Improving,449.0,-1.04,-0.92,,no_price
2026-06-22,POWERGRID,Institutional Flow,Improving,289.75,0.76,-1.21,,no_price
2026-06-22,RELIANCE,Institutional Flow,Improving,1326.5,-1.28,-1.92,,no_price
2026-06-22,BPCL,Institutional Flow,Improving,308.6000061035156,-0.02,-2.53,,no_price
2026-06-22,M&M,Institutional Flow,Improving,3031.56396484375,-0.85,0.97,,no_price
2026-06-22,BRITANNIA,Institutional Flow,Improving,5217.5,0.45,-2.21,,no_price
2026-06-22,ONGC,Institutional Flow,Improving,245.4499969482422,-0.45,-4.64,,no_price
2026-06-22,NTPC,Institutional Flow,Improving,367.04998779296875,-0.67,-2.98,,no_price
2026-06-25,INDUSINDBK,Corporate Actions,Dividend,,,,,no_price
2026-06-25,GICHSGFIN,Corporate Actions,Dividend,,,,,no_price
2026-06-25,VISAKAIND,Corporate Actions,Dividend,,,,,no_price
2026-06-25,ALKYLAMINE,Corporate Actions,Dividend,,,,,no_price
2026-06-25,MAWANASUG,Corporate Actions,Dividend,,,,,no_price
2026-06-25,CARERATING,Corporate Actions,Dividend,,,,,no_price
2026-06-25,UFLEX,Corporate Actions,Dividend,,,,,no_price
2026-06-24,WHEELS,Corporate Actions,Dividend,,,,,no_price
2026-06-24,ZFCVINDIA,Corporate Actions,Bonus Issue,,,,,no_price
2026-06-24,KOTYARK,Corporate Actions,Bonus Issue,,,,,no_price
2026-06-24,BUILDPRO,Corporate Actions,Dividend,,,,,no_price
2026-06-24,BAJAJ-AUTO,Corporate Actions,Buyback,,,,,no_price
2026-06-23,INDHOTEL,Corporate Actions,Dividend,,,,,no_price
2026-06-23,HINDUNILVR,Corporate Actions,Dividend,,,,,no_price
2026-06-23,ASIANPAINT,Corporate Actions,Dividend,,,,,no_price
2026-06-23,DALBHARAT,Corporate Actions,Dividend,,,,,no_price
2026-06-23,THYROCARE,Corporate Actions,Dividend,,,,,no_price
2026-06-23,GNA,Corporate Actions,Dividend,,,,,no_price
2026-06-23,ARSSBL,Corporate Actions,Dividend,,,,,no_price
2026-06-23,TATAPOWER,Corporate Actions,Dividend,,,,,no_price
2026-06-23,ABCAPITAL,Corporate Actions,Preferential Allotment,,,,,no_price
2026-06-23,LANDSMILL,Corporate Actions,Mergers & Acquisitions,,,,,no_price
2026-06-23,INTERARCH,Corporate Actions,Large Order Win,,,,,no_price
2026-06-23,IGIL,Corporate Actions,Management Change,,,,,no_price
2026-05-01,JINDALSTEL,Results,Neutral,,,,,no_price
2026-04-29,VEDL,Results,Strong,,,,,no_price
2026-05-22,HINDALCO,Results,Weak,,,,,no_price
2026-05-14,JSWSTEEL,Results,Strong,,,,,no_price
