Symbol,Sector,Sector Trend,Relative Strength,Above 20 SMA,Current Price
KOTAKBANK,Banking,Strong,Strong,Y,411.05
BAJFINANCE,Financial Services,Strong,Strong,Y,999.6
CHOLAFIN,Financial Services,Strong,Strong,Y,1810.5
EICHERMOT,Auto,Strong,Strong,Y,7685.0
PRESTIGE,Realty,Strong,Strong,Y,1562.2
PHOENIXLTD,Realty,Strong,Strong,Y,1939.1
HDFCBANK,Banking,Strong,Neutral,Y,798.25
ICICIBANK,Banking,Strong,Neutral,Y,1386.9
SBIN,Banking,Strong,Neutral,Y,1049.9
AXISBANK,Banking,Strong,Neutral,Y,1387.2
BAJAJFINSV,Financial Services,Strong,Neutral,Y,1785.6
SHRIRAMFIN,Financial Services,Strong,Neutral,Y,1038.7
MARUTI,Auto,Strong,Neutral,Y,13835.0
M&M,Auto,Strong,Neutral,Y,3172.4
BAJAJ-AUTO,Auto,Strong,Neutral,N,9916.0
DLF,Realty,Strong,Neutral,Y,623.8
GODREJPROP,Realty,Strong,Neutral,Y,1851.9
OBEROIRLTY,Realty,Strong,Neutral,Y,1776.7
SBICARD,Financial Services,Strong,Weak,Y,627.65
SUNPHARMA,Pharma,Improving,Strong,Y,1885.3
DRREDDY,Pharma,Improving,Strong,Y,1360.0
CIPLA,Pharma,Improving,Strong,Y,1442.9
DIVISLAB,Pharma,Improving,Strong,Y,6719.0
NESTLEIND,FMCG,Improving,Strong,Y,1401.9
BHEL,Capital Goods,Improving,Strong,Y,403.95
CUMMINSIND,Capital Goods,Improving,Strong,N,5691.0
LUPIN,Pharma,Improving,Neutral,Y,2375.1
HINDUNILVR,FMCG,Improving,Neutral,Y,2194.3
ITC,FMCG,Improving,Neutral,Y,291.6
DABUR,FMCG,Improving,Neutral,Y,427.85
LT,Capital Goods,Improving,Neutral,Y,4232.7
SIEMENS,Capital Goods,Improving,Neutral,N,3651.0
ABB,Capital Goods,Improving,Neutral,Y,7086.0
HAL,Defence,Improving,Neutral,Y,4381.0
BDL,Defence,Improving,Neutral,Y,1391.4
MAZDOCK,Defence,Improving,Neutral,Y,2523.2
COCHINSHIP,Defence,Improving,Neutral,Y,1480.2
BRITANNIA,FMCG,Improving,Weak,Y,5266.5
BEL,Defence,Improving,Weak,N,411.0
